Sc0000000	11979	12827	21	848
Sc0000000	13169	144278	2630	131109
Sc0000000	198759	200614	40	1855
Sc0000000	202548	216143	273	13595
Sc0000000	275706	276260	14	554
Sc0000000	323563	339816	407	16253
Sc0000000	357776	361981	106	4205
Sc0000000	399212	400109	24	897
Sc0000000	406515	411187	136	4672
Sc0000000	430430	431536	31	1106
Sc0000000	471052	472531	39	1479
Sc0000000	485379	519725	689	34346
Sc0000000	525170	525825	28	655
Sc0000000	527155	527752	13	597
Sc0000000	529231	530302	34	1071
Sc0000000	544689	547676	73	2987
Sc0000000	635526	692035	1188	56509
Sc0000000	710657	711922	29	1265
Sc0000000	718550	722015	71	3465
Sc0000000	723084	731249	185	8165
Sc0000000	735688	740960	129	5272
Sc0000000	742582	743204	31	622
Sc0000000	744548	794058	1024	49510
Sc0000000	820638	834235	298	13597
Sc0000000	859918	880383	438	20465
Sc0000000	891354	892068	16	714
Sc0000000	895922	898735	62	2813
Sc0000000	900063	900749	20	686
Sc0000000	901485	902269	25	784
Sc0000000	905548	920690	305	15142
Sc0000000	924122	924744	15	622
Sc0000000	928322	928965	16	643
Sc0000000	931110	942064	225	10954
Sc0000000	946952	960775	278	13823
Sc0000000	964507	966839	89	2332
Sc0000000	969533	980269	257	10736
Sc0000000	982500	983324	38	824
Sc0000000	984713	985285	24	572
Sc0000000	986441	997245	362	10804
Sc0000000	1010643	1016889	130	6246
Sc0000000	1018366	1020539	51	2173
Sc0000000	1021935	1022477	11	542
Sc0000000	1024623	1025157	12	534
Sc0000000	1027142	1029761	54	2619
Sc0000000	1031315	1067972	741	36657
Sc0000000	1069520	1088695	400	19175
Sc0000000	1093183	1093753	21	570
Sc0000000	1095443	1102437	145	6994
Sc0000000	1102855	1103696	34	841
Sc0000000	1105015	1108524	121	3509
Sc0000000	1119800	1122002	47	2202
Sc0000000	1122200	1128120	120	5920
Sc0000000	1130988	1133814	65	2826
Sc0000000	1134958	1137610	63	2652
Sc0000000	1149853	1872274	25837	722421
Sc0000001	15926	16798	52	872
Sc0000001	25252	25797	22	545
Sc0000001	30251	30861	15	610
Sc0000001	85209	85806	19	597
Sc0000001	94432	95067	23	635
Sc0000001	100442	134561	729	34119
Sc0000001	145955	146514	23	559
Sc0000001	147896	149967	42	2071
Sc0000001	167558	172598	117	5040
Sc0000001	175223	175848	14	625
Sc0000001	176119	179139	66	3020
Sc0000001	218697	219399	18	702
Sc0000001	224697	225574	20	877
Sc0000001	227656	230190	59	2534
Sc0000001	232760	235116	58	2356
Sc0000001	239777	240286	13	509
Sc0000001	245446	246434	21	988
Sc0000001	253037	327082	1509	74045
Sc0000001	362916	363735	18	819
Sc0000001	363911	364824	38	913
Sc0000001	417841	418624	45	783
Sc0000001	487781	488874	33	1093
Sc0000001	489931	490474	20	543
Sc0000001	526804	537423	214	10619
Sc0000001	541477	542110	26	633
Sc0000001	566465	567126	19	661
Sc0000001	567811	570173	68	2362
Sc0000001	601459	603208	35	1749
Sc0000001	623523	624043	22	520
Sc0000001	639164	640053	19	889
Sc0000001	640564	641298	17	734
Sc0000001	641485	642031	12	546
Sc0000001	642354	642928	17	574
Sc0000001	643306	644621	47	1315
Sc0000001	658965	659976	26	1011
Sc0000001	661654	663576	41	1922
Sc0000001	665276	666262	20	986
Sc0000001	715941	723327	197	7386
Sc0000001	730948	731687	17	739
Sc0000001	733097	735630	55	2533
Sc0000001	737460	744600	163	7140
